# PRODUCER_ID = cron , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# PRODUCT_CREATION_TIME = Tue Feb  5 12:00:27 2013 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# SOFTWARE_NAME = CCOPS , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# SOFTWARE_VERSION_ID = 2.0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DARK = CL1_398645602EDR_F0030004CCAM02013M1.DAT , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMUVMIN  FLOAT     =       6.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVISMIN  FLOAT     =       6.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVNIREND FLOAT     =       3.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVNIRMIN FLOAT     =       5.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DISTT =       2673.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DNOISEITER =       10.0000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DNOISESIG  =       3.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# NSHOTS =           30 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# MATCHEDFILTER =        2 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# wave , shot1 , shot2 , shot3 , shot4 , shot5 , shot6 , shot7 , shot8 , shot9 , shot10 , shot11 , shot12 , shot13 , shot14 , shot15 , shot16 , shot17 , shot18 , shot19 , shot20 , shot21 , shot22 , shot23 , shot24 , shot25 , shot26 , shot27 , shot28 , shot29 , shot30 , median, mean
241.88300, 1.8253395e+11, 3.9827433e+11, 3.8677156e+11, 4.7431575e+11, 3.5004330e+11, 4.2123095e+11, 3.6682741e+11, 3.6188132e+11, 3.7523597e+11, 3.7801655e+11, 3.9079191e+11, 4.0735787e+11, 3.2288697e+11, 3.8518266e+11, 3.9714981e+11, 3.2678097e+11, 3.6877990e+11, 3.9114367e+11, 3.6517746e+11, 4.0652388e+11, 3.7312136e+11, 3.4377377e+11, 3.8744343e+11, 3.2636649e+11, 3.3783550e+11, 3.8070668e+11, 3.6412534e+11, 3.6603301e+11, 3.6899947e+11, 4.0605368e+11, 3.6914652e+11, 3.6814000e+11
241.93800, 1.2507370e+11, 1.9780775e+11, 1.7070825e+11, 2.4678526e+11, 1.6547199e+11, 2.0302344e+11, 2.1350018e+11, 1.7536859e+11, 1.5166110e+11, 1.7514331e+11, 1.8617183e+11, 1.8528242e+11, 1.6961233e+11, 2.1041851e+11, 1.8327589e+11, 1.8272950e+11, 1.3559179e+11, 2.1265434e+11, 1.8584702e+11, 1.7043464e+11, 1.8526303e+11, 1.4982568e+11, 1.4394422e+11, 1.6288261e+11, 1.4694859e+11, 1.8882375e+11, 1.5756141e+11, 1.3667534e+11, 1.3528627e+11, 1.6509546e+11, 1.5381839e+11, 1.6029969e+11
241.99100, 5.8660188e+10, 8.0956335e+10, 1.3709436e+10, 1.1490840e+11, 6.1852697e+10, 8.2310201e+10, 7.1940417e+10, 4.1415752e+10, 7.1943921e+09, 7.1313710e+10, 7.8580974e+10, 6.8854942e+10, 5.5309192e+10, 8.1774412e+10, 7.1542269e+10, 7.4379125e+10, -1.6685095e+10, 7.5027416e+10, 6.8044959e+10, 1.1350280e+10, 6.1345778e+10, 4.5023199e+10, 3.3279037e+09, 3.4694170e+10, 5.1993465e+09, 7.3158440e+10, 4.5402338e+10, 1.1194816e+10, -1.6556398e+10, 5.6726066e+10, 6.0958441e+09, 1.4383391e+10
242.04500, 1.9960528e+10, 6.9598886e+09, 1.0640757e+10, 2.8051958e+10, 1.5737556e+08, 1.1716317e+10, -1.7875194e+10, 1.3352368e+10, 2.2317279e+09, 9.8749294e+09, 1.0688412e+10, 3.3201541e+09, -1.6811666e+10, 5.5454387e+09, 3.3468997e+09, 4.6137224e+09, 5.4710981e+09, -1.7706494e+10, 4.9840359e+09, 7.2225624e+09, -6.4321232e+09, -8.8137993e+09, 7.0123299e+09, 7.5464264e+09, 7.5517504e+09, 3.2988094e+09, -1.4402127e+10, 8.5511449e+09, -2.2534592e+08, -1.7490982e+09, -1.7881010e+10, -1.8252224e+10
242.09900, 2.8820445e+09, 3.0364022e+10, -1.6857152e+10, -1.5348222e+10, -1.9570342e+10, -1.3619988e+10, 1.8572802e+10, -1.5580376e+10, -1.7307767e+10, -1.5599997e+10, -1.9029377e+10, -1.8164666e+10, 5.4293338e+09, -1.8609801e+10, -1.9438846e+10, -1.9711334e+10, -5.5312575e+09, 1.3545298e+10, -4.8723201e+09, -1.5566345e+10, -1.9662094e+10, -1.8610409e+10, -2.0065146e+10, -1.5666017e+10, -1.5648412e+10, -1.9420768e+10, -1.8671587e+10, -3.7184627e+09, -1.0258342e+10, -2.1195083e+10, -1.2740610e+10, -1.4164735e+10
242.15100, -5.3567354e+08, -91302580., -1.3282387e+10, -1.4533796e+10, -1.0481666e+10, -1.4059886e+10, 2.6403123e+10, -3.4531795e+09, -7.9777902e+09, -1.8148305e+10, -1.2183451e+10, -1.4898388e+10, 2.5917727e+09, -8.1173393e+09, -1.0828712e+10, -3.4884574e+09, 4.3996723e+09, 1.5476722e+10, 6.8758665e+09, -5.2694024e+09, -3.2801877e+09, -5.5622519e+09, -1.5789827e+10, 2.3895194e+09, -1.3697837e+10, -1.0047915e+10, -2.6836523e+09, -1.7027814e+10, 2.5883074e+09, -2.0280759e+10, -1.5435173e+10, -1.7500453e+10
242.20599, 2.4451318e+10, -1.5741000e+10, 7.1433576e+09, 2.7343089e+10, 8.4869406e+09, -8.2544253e+09, 4.3362126e+10, 1.2004929e+10, 3.9213854e+10, -5.9584144e+09, 8.9207006e+09, -2.9106574e+09, 1.0090532e+10, 2.2127590e+10, 1.5220705e+10, 2.3665438e+10, 1.7623585e+10, 4.1184032e+10, 2.0312331e+09, 3.5078905e+09, 5.0898122e+10, 3.4769985e+10, -1.5802370e+08, 4.0939483e+10, -14581666., 1.2498758e+10, 2.9553772e+09, -8.0275125e+09, 1.0783203e+10, 1.6489169e+10, -8.2795248e+09, -1.2569640e+10
242.25900, 9.6018060e+10, 1.2620010e+11, 8.7412671e+10, 1.4270367e+11, 8.5261881e+10, 7.6011560e+10, 1.2161844e+11, 8.2034120e+10, 1.4798257e+11, 7.8657178e+10, 9.0557151e+10, 7.2666446e+10, 9.0805449e+10, 1.0985455e+11, 1.0416855e+11, 1.0464667e+11, 9.6207793e+10, 1.0537986e+11, 5.4989916e+10, 6.9559545e+10, 1.6633962e+11, 1.2217754e+11, 7.4452509e+10, 1.3173597e+11, 7.9654593e+10, 9.9768665e+10, 6.1714294e+10, 1.2418987e+11, 6.9614726e+10, 9.9777967e+10, 8.9619850e+10, 8.3670742e+10
242.31200, 2.1036172e+11, 3.1992030e+11, 3.0250878e+11, 3.8910627e+11, 3.0042461e+11, 3.4662377e+11, 3.5839684e+11, 3.2442491e+11, 2.9636399e+11, 3.1483841e+11, 3.1493599e+11, 2.9942304e+11, 3.4461925e+11, 2.9589678e+11, 3.2441347e+11, 3.0977904e+11, 3.1259064e+11, 2.9923543e+11, 2.9997190e+11, 3.0610960e+11, 3.3311633e+11, 2.5694359e+11, 3.0104331e+11, 3.3515544e+11, 3.0466338e+11, 3.3496461e+11, 2.7233389e+11, 2.6912701e+11, 2.6281161e+11, 2.5555554e+11, 2.8657664e+11, 2.8879411e+11
242.36600, 3.7645330e+11, 5.3885618e+11, 5.5003127e+11, 6.6152660e+11, 5.2519963e+11, 5.9960270e+11, 5.9594587e+11, 5.4728198e+11, 5.1716641e+11, 5.5658743e+11, 5.3239609e+11, 5.4370346e+11, 5.7772242e+11, 5.1002547e+11, 5.2592486e+11, 5.0734617e+11, 5.2326380e+11, 5.8434823e+11, 5.2187779e+11, 5.3912355e+11, 5.3764201e+11, 4.2218918e+11, 5.3310840e+11, 5.4787189e+11, 5.5109414e+11, 5.6701692e+11, 4.9638817e+11, 4.7323060e+11, 4.6476736e+11, 5.5574077e+11, 5.0980318e+11, 5.1589891e+11
